"fold","test_year","target_date","p_min","p_max","actual_price","inside_range","prob_calm","prob_stress"
8,2020,2020-04-30,1.07274536775748,1.0979427040885,1.0934,TRUE,0.430203740327303,0.569796259672697
8,2020,2020-05-01,1.08045523481177,1.10644042172886,1.0998,TRUE,0.328861792592176,0.671138207407824
8,2020,2020-05-04,1.086630537054,1.11306926050137,1.0911,TRUE,0.292352374850774,0.707647625149226
8,2020,2020-05-05,1.07773893532418,1.10449156358657,1.0844,TRUE,0.202002872439747,0.797997127560253
8,2020,2020-05-06,1.07104752532137,1.0978597789883,1.0806,TRUE,0.171160723919562,0.828839276080439
8,2020,2020-05-07,1.06744082151931,1.09386254415998,1.0815,TRUE,0.196191896768832,0.803808103231168
8,2020,2020-05-08,1.06854984818253,1.09454833653326,1.0854,TRUE,0.262047966549101,0.737952033450899
8,2020,2020-05-11,1.0724768541666,1.09841997125681,1.0818,TRUE,0.29177122431587,0.70822877568413
8,2020,2020-05-12,1.06906644578978,1.09462661950751,1.0864,TRUE,0.330215581651107,0.669784418348892
8,2020,2020-05-13,1.07368600423428,1.09920575139398,1.0837,TRUE,0.343477939578783,0.656522060421217
8,2020,2020-05-14,1.07123803743937,1.09624840767972,1.08,TRUE,0.405568568573572,0.594431431426428
8,2020,2020-05-15,1.06772710307454,1.09235573329104,1.0816,TRUE,0.445169863898323,0.554830136101678
8,2020,2020-05-18,1.06960227363336,1.09367412511053,1.0904,TRUE,0.530721864617346,0.469278135382654
8,2020,2020-05-19,1.07786114879859,1.10302587448833,1.0937,TRUE,0.393628407305591,0.606371592694409
8,2020,2020-05-20,1.08127159249881,1.10621234329027,1.098,TRUE,0.444189409653127,0.555810590346873
8,2020,2020-05-21,1.08559727908622,1.11048533645783,1.0953,TRUE,0.467547479509612,0.532452520490388
8,2020,2020-05-22,1.08322481221046,1.10745098552071,1.0894,TRUE,0.533517331020567,0.466482668979434
8,2020,2020-05-26,1.07724234736871,1.10163637268995,1.097,TRUE,0.500782949151531,0.499217050848469
8,2020,2020-05-27,1.08446015729169,1.10962584260361,1.0969,TRUE,0.407485230563404,0.592514769436596
8,2020,2020-05-28,1.08473308683557,1.10914454470375,1.1069,TRUE,0.503084506887616,0.496915493112384
8,2020,2020-05-29,1.0940218598114,1.11987008270621,1.1107,TRUE,0.336212625863733,0.663787374136267
8,2020,2020-06-01,1.09792828548951,1.12356051666713,1.1123,TRUE,0.372835797231082,0.627164202768918
8,2020,2020-06-02,1.09973621149178,1.1249476101957,1.1166,TRUE,0.455609027882224,0.544390972117776
8,2020,2020-06-03,1.10413906826723,1.12914169480387,1.1246,TRUE,0.480431405787897,0.519568594212104
8,2020,2020-06-04,1.11166877432843,1.13762122844155,1.1322,TRUE,0.3815774685609,0.6184225314391
8,2020,2020-06-05,1.11895123880144,1.14554471894452,1.1297,TRUE,0.307225205950514,0.692774794049486
8,2020,2020-06-08,1.1167102829143,1.14278016986577,1.1293,TRUE,0.371163537605188,0.628836462394812
8,2020,2020-06-09,1.11662115057672,1.14206234619244,1.1348,TRUE,0.463611686211633,0.536388313788368
8,2020,2020-06-10,1.12205949095709,1.14762443796137,1.1355,TRUE,0.452085912969182,0.547914087030818
8,2020,2020-06-11,1.12305963856617,1.14793894405249,1.1378,TRUE,0.546053252149115,0.453946747850885
8,2020,2020-06-12,1.12564307871308,1.15002761357925,1.1253,FALSE,0.618754003071047,0.381245996928953
8,2020,2020-06-15,1.11236091946898,1.1383291931231,1.127,TRUE,0.389612365389668,0.610387634610332
8,2020,2020-06-16,1.11434697762789,1.13973635037719,1.1259,TRUE,0.471304096878596,0.528695903121404
8,2020,2020-06-17,1.11356472709806,1.13831178289722,1.1219,TRUE,0.561281263809773,0.438718736190228
8,2020,2020-06-18,1.10976078461895,1.13411217593927,1.1216,TRUE,0.594001588853491,0.405998411146509
8,2020,2020-06-19,1.10984435906898,1.13342050824391,1.1189,TRUE,0.68174491675664,0.31825508324336
8,2020,2020-06-22,1.10740045110356,1.13045958291634,1.126,TRUE,0.735626912869929,0.264373087130071
8,2020,2020-06-23,1.11412215804597,1.13786673943084,1.1322,TRUE,0.673558372085504,0.326441627914496
8,2020,2020-06-24,1.12018004517586,1.14428877354524,1.1272,TRUE,0.637888438591663,0.362111561408337
8,2020,2020-06-25,1.11523329352853,1.13923527102874,1.1221,TRUE,0.639862767631873,0.360137232368127
8,2020,2020-06-26,1.11018758859348,1.13408071124744,1.1215,TRUE,0.637874118473389,0.362125881526611
8,2020,2020-06-29,1.10997429531046,1.13308605306791,1.1237,TRUE,0.720063779413768,0.279936220586232
8,2020,2020-06-30,1.1123804964735,1.13507537330393,1.1237,TRUE,0.776740726308996,0.223259273691004
8,2020,2020-07-01,1.11268557161145,1.13476429766438,1.1259,TRUE,0.836603660732823,0.163396339267177
8,2020,2020-07-02,1.1150933486519,1.13675223496164,1.1237,TRUE,0.873615123704085,0.126384876295915
8,2020,2020-07-06,1.11306720147365,1.13429781600694,1.1307,TRUE,0.903052206292442,0.0969477937075584
8,2020,2020-07-07,1.11984750747214,1.14159834635208,1.1299,TRUE,0.871166249210883,0.128833750789117
8,2020,2020-07-08,1.1192854218633,1.14055611297185,1.1329,TRUE,0.907716720127851,0.0922832798721493
8,2020,2020-07-09,1.12241119202154,1.14342765349802,1.1298,TRUE,0.924895488247065,0.0751045117529348
8,2020,2020-07-10,1.11941681471676,1.14022059616094,1.1318,TRUE,0.938292119472109,0.0617078805278904
8,2020,2020-07-13,1.12155230728802,1.14208245457885,1.1364,TRUE,0.953763053480151,0.0462369465198486
8,2020,2020-07-14,1.12611082223949,1.14672413818965,1.1406,TRUE,0.954417011247745,0.0455829887522547
8,2020,2020-07-15,1.13035036584392,1.15088338320891,1.1406,TRUE,0.957367034705723,0.0426329652942773
8,2020,2020-07-16,1.13042811717374,1.1507255978765,1.1433,TRUE,0.970215256512826,0.0297847434871744
8,2020,2020-07-17,1.13318189992212,1.15337042697497,1.1438,TRUE,0.976083400239324,0.0239165997606763
8,2020,2020-07-20,1.13383304323075,1.15379562094259,1.1442,TRUE,0.982900287223362,0.0170997127766381
8,2020,2020-07-21,1.1343075568812,1.1541198883833,1.1495,TRUE,0.987530636627501,0.0124693633724993
8,2020,2020-07-22,1.1395618336387,1.15946577463955,1.1587,TRUE,0.985436752991345,0.0145632470086544
8,2020,2020-07-23,1.14844603368882,1.16898580995347,1.1623,TRUE,0.970116419911505,0.0298835800884955
8,2020,2020-07-24,1.15209327733585,1.17253735040168,1.1635,TRUE,0.973834235634893,0.0261657643651066
8,2020,2020-07-27,1.15336203587824,1.17366735799455,1.175,FALSE,0.981043549920354,0.018956450079646
8,2020,2020-07-28,1.16436244030895,1.1856740931224,1.1733,TRUE,0.950533502239005,0.0494664977609947
8,2020,2020-07-29,1.16283736199307,1.1837963551096,1.177,TRUE,0.963884205720377,0.0361157942796231
8,2020,2020-07-30,1.16650462239841,1.18744801747273,1.1791,TRUE,0.968458461699495,0.0315415383005052
8,2020,2020-07-31,1.16874620570131,1.18948502802716,1.1822,TRUE,0.976149806772734,0.023850193227266
8,2020,2020-08-03,1.17189947509115,1.1925305273077,1.175,TRUE,0.980135351473761,0.0198646485262396
8,2020,2020-08-04,1.16460271454315,1.18542990626737,1.1766,TRUE,0.971031763436827,0.0289682365631728
8,2020,2020-08-05,1.1663485445482,1.18688141516921,1.1898,FALSE,0.978738184052667,0.0212618159473327
8,2020,2020-08-06,1.17886739101372,1.20077268989251,1.1856,TRUE,0.937220634461679,0.0627793655383215
8,2020,2020-08-07,1.17470622421958,1.19645190797515,1.1776,TRUE,0.943200306292505,0.0567996937074947
8,2020,2020-08-10,1.16661983742752,1.18862283917517,1.1756,TRUE,0.914413548118042,0.0855864518819579
8,2020,2020-08-11,1.16479827936621,1.18644146373858,1.1764,TRUE,0.936442115137568,0.0635578848624322
8,2020,2020-08-12,1.16575087055477,1.18708609021214,1.1796,TRUE,0.95539531934432,0.0446046806556798
8,2020,2020-08-13,1.16900219416706,1.19023350956409,1.1818,TRUE,0.963356047975716,0.0366439520242836
8,2020,2020-08-14,1.17126292302203,1.19228991905753,1.1833,TRUE,0.972250581760331,0.0277494182396689
8,2020,2020-08-17,1.17291043455492,1.19372130655979,1.1869,TRUE,0.979686908791921,0.0203130912080787
8,2020,2020-08-18,1.17647908677614,1.19727090967351,1.1928,TRUE,0.982062065033589,0.0179379349664105
8,2020,2020-08-19,1.1823273478606,1.2033047640678,1.1898,TRUE,0.978536776143969,0.0214632238560311
8,2020,2020-08-20,1.17943470153313,1.2001960133836,1.1862,TRUE,0.982266612002967,0.0177333879970328
8,2020,2020-08-21,1.17594679980493,1.19648250858536,1.1775,TRUE,0.984206038538322,0.0157939614616782
8,2020,2020-08-24,1.16708210133131,1.18795112384808,1.1803,TRUE,0.970762466035907,0.0292375339640934
8,2020,2020-08-25,1.16993768952125,1.19061282315556,1.1818,TRUE,0.976606816925499,0.0233931830745006
8,2020,2020-08-26,1.17158520238173,1.19204413129876,1.1813,TRUE,0.98280368093984,0.0171963190601597
8,2020,2020-08-27,1.17117003220766,1.19145803084495,1.1824,TRUE,0.987550650279093,0.0124493497209073
8,2020,2020-08-28,1.1723411720712,1.19248566487266,1.1901,TRUE,0.990553779077602,0.00944622092239754
8,2020,2020-08-31,1.17989477250354,1.20033357349728,1.195,TRUE,0.984146529779911,0.0158534702200886
8,2020,2020-09-01,1.18475291336257,1.20527560726272,1.1949,TRUE,0.983271449362114,0.0167285506378865
8,2020,2020-09-02,1.18473520505778,1.20509205221309,1.184,FALSE,0.987960339830741,0.0120396601692586
8,2020,2020-09-03,1.17360602922218,1.19442635220772,1.1832,TRUE,0.969127643607067,0.0308723563929324
8,2020,2020-09-04,1.17289367669829,1.19353739896682,1.182,TRUE,0.978290743167116,0.0217092568328845
8,2020,2020-09-08,1.17186484229461,1.19216353371356,1.1789,TRUE,0.984257257157437,0.0157427428425627
8,2020,2020-09-09,1.16879171468833,1.18895534401382,1.181,TRUE,0.986569255124969,0.0134307448750314
8,2020,2020-09-10,1.17095414773274,1.19099156251398,1.188,TRUE,0.989349535522651,0.0106504644773494
8,2020,2020-09-11,1.17781394949371,1.19821477279086,1.1831,TRUE,0.98398388132818,0.0160161186718199
8,2020,2020-09-14,1.17295613132446,1.19319089796147,1.1874,TRUE,0.983008684239741,0.0169913157602586
8,2020,2020-09-15,1.17730000885616,1.19752744547234,1.1846,TRUE,0.983439090510781,0.0165609094892186
8,2020,2020-09-16,1.1746044867547,1.19462164006178,1.1835,TRUE,0.986372961115566,0.0136270388844338
8,2020,2020-09-17,1.17359441056482,1.19343046183056,1.1823,TRUE,0.989845091071644,0.0101549089283562
8,2020,2020-09-18,1.17248501344029,1.19213861528513,1.1857,TRUE,0.992135198861019,0.00786480113898084
8,2020,2020-09-21,1.17585704600645,1.19556674744743,1.1737,FALSE,0.99250827816148,0.00749172183851981
8,2020,2020-09-22,1.16355772912871,1.18387231404313,1.1703,TRUE,0.976234950805862,0.023765049194138
8,2020,2020-09-23,1.16026675336611,1.1803619208877,1.1677,TRUE,0.979613710743118,0.0203862892568816
8,2020,2020-09-24,1.15776855317969,1.17765880425496,1.1666,TRUE,0.983745489403674,0.0162545105963264
8,2020,2020-09-25,1.15675739086617,1.17646871695331,1.1618,TRUE,0.988097906107619,0.0119020938923813
8,2020,2020-09-28,1.15199805250086,1.17162800854482,1.166,TRUE,0.987029325327157,0.0129706746728424
8,2020,2020-09-29,1.15624190534406,1.17578298072799,1.1717,TRUE,0.987092662532047,0.0129073374679528
8,2020,2020-09-30,1.16181479247563,1.1816115886018,1.1723,TRUE,0.984009194667951,0.0159908053320486
8,2020,2020-10-01,1.16248960303729,1.1820547158085,1.1752,TRUE,0.98851086616037,0.0114891338396297
8,2020,2020-10-02,1.16544533202978,1.18497867135992,1.1706,TRUE,0.990112776842258,0.00988722315774239
8,2020,2020-10-05,1.16088369505,1.18034028228658,1.1784,TRUE,0.989322034953855,0.0106779650461445
8,2020,2020-10-06,1.16845891428303,1.1882865739464,1.1778,TRUE,0.981009840594774,0.0189901594052256
8,2020,2020-10-07,1.16802410944908,1.18760008152817,1.1766,TRUE,0.986595916410852,0.0134040835891477
8,2020,2020-10-08,1.16691422756992,1.18630873687764,1.1753,TRUE,0.990042499428178,0.00995750057182162
8,2020,2020-10-09,1.16570499729002,1.18491675155091,1.1819,TRUE,0.992297795933182,0.0077022040668177
8,2020,2020-10-13,1.1721709162712,1.19165227187221,1.1737,TRUE,0.98830390681795,0.0116960931820496
8,2020,2020-10-14,1.16387898986597,1.18354662838539,1.1755,TRUE,0.97778032220147,0.0222196777985296
8,2020,2020-10-15,1.16574398435367,1.18528045367648,1.1701,TRUE,0.983635986426575,0.016364013573425
8,2020,2020-10-16,1.16038891400248,1.1798354539848,1.1717,TRUE,0.980842002881309,0.0191579971186907
8,2020,2020-10-19,1.16205543833613,1.18136776064697,1.1788,TRUE,0.985957057651908,0.0140429423480923
8,2020,2020-10-20,1.16893700448678,1.18860768687878,1.1824,TRUE,0.977913537037196,0.0220864629628041
8,2020,2020-10-21,1.17258731872759,1.19223748804313,1.187,TRUE,0.980557400732538,0.0194425992674623
8,2020,2020-10-22,1.17714931551647,1.19687565226515,1.1824,TRUE,0.980221816165395,0.0197781838346051
8,2020,2020-10-23,1.17258767467346,1.1921557321082,1.1844,TRUE,0.979888363956099,0.0201116360439007
