Date,sigma_t,log_sigma_t,state,regime_label
2025-02-04,0.5448580303410658,-0.6072300130405885,1,normal volatility
2025-02-05,0.5681983365916116,-0.5652847370714181,1,normal volatility
2025-02-06,0.5626992219992588,-0.5750100351646898,1,normal volatility
2025-02-07,0.5601290677472581,-0.57958804368884,1,normal volatility
2025-02-10,0.5543729111424771,-0.5899176938758277,1,normal volatility
2025-02-11,0.5449413766668213,-0.6070770558534548,1,normal volatility
2025-02-12,0.5387445184912207,-0.6185138121101939,1,normal volatility
2025-02-13,0.5358611884346887,-0.6238801282525717,1,normal volatility
2025-02-14,0.5303216655325974,-0.6342715404358202,1,normal volatility
2025-02-18,0.5366228857204424,-0.6224596924024209,1,normal volatility
2025-02-19,0.5319408035964194,-0.63122306726692,1,normal volatility
2025-02-20,0.5303971486553051,-0.6341292159633485,1,normal volatility
2025-02-21,0.5363143812903944,-0.6230347575959514,1,normal volatility
2025-02-24,0.5276089552809279,-0.6393998846648931,1,normal volatility
2025-02-25,0.5196990924358525,-0.6545053032924281,1,normal volatility
2025-02-26,0.5115342348286822,-0.6703407655688326,1,normal volatility
2025-02-27,0.5030569382878587,-0.68705191789737,1,normal volatility
2025-02-28,0.5268681545024324,-0.6408049429511199,1,normal volatility
2025-03-03,0.5175746891358096,-0.6586014374242458,1,normal volatility
2025-03-04,0.5373505107932086,-0.6211046771172026,1,normal volatility
2025-03-05,0.5321610886270216,-0.6308090373035136,1,normal volatility
2025-03-06,0.6739381628899251,-0.3946169187329104,2,high volatility (stress/panic)
2025-03-07,0.6673726818728207,-0.40440664566799434,2,high volatility (stress/panic)
2025-03-10,0.6589483934200454,-0.4171100579860442,2,high volatility (stress/panic)
2025-03-11,0.647620474551385,-0.4344504416324407,2,high volatility (stress/panic)
2025-03-12,0.6554860563582099,-0.4223782477693743,2,high volatility (stress/panic)
2025-03-13,0.6431123012460183,-0.44143591797882487,2,high volatility (stress/panic)
2025-03-14,0.6415665508371389,-0.44384235777087105,2,high volatility (stress/panic)
2025-03-17,0.629939701423323,-0.4621311762037184,2,high volatility (stress/panic)
2025-03-18,0.6245770936776448,-0.4706805083925152,2,high volatility (stress/panic)
2025-03-19,0.6129124049418155,-0.48953324894683736,2,high volatility (stress/panic)
2025-03-20,0.6077451637330245,-0.4979996234761031,2,high volatility (stress/panic)
2025-03-21,0.5984790952971659,-0.513363683086745,2,high volatility (stress/panic)
2025-03-24,0.5918982511313011,-0.5244205319590217,2,high volatility (stress/panic)
2025-03-25,0.5811810382199873,-0.5426929730419203,2,high volatility (stress/panic)
2025-03-26,0.5706450330824558,-0.5609879209852622,2,high volatility (stress/panic)
2025-03-27,0.5614422329092484,-0.5772463900440542,2,high volatility (stress/panic)
2025-03-28,0.5521178292517444,-0.5939937966947356,2,high volatility (stress/panic)
2025-03-31,0.5439530958138422,-0.6088922567738696,2,high volatility (stress/panic)
2025-04-01,0.5364489614601607,-0.6227838538502525,2,high volatility (stress/panic)
2025-04-02,0.5265877997973052,-0.6413372000627753,2,high volatility (stress/panic)
2025-04-03,0.531176474274749,-0.6326609696870416,2,high volatility (stress/panic)
2025-04-04,0.6147296338215115,-0.4865727276391554,2,high volatility (stress/panic)
2025-04-07,0.6067285615863555,-0.4996737681906669,2,high volatility (stress/panic)
2025-04-08,0.6216069551070625,-0.4754472909516203,2,high volatility (stress/panic)
2025-04-09,0.609923177027373,-0.49442226904518816,2,high volatility (stress/panic)
2025-04-10,0.639932558774724,-0.44639248509545043,2,high volatility (stress/panic)
2025-04-11,0.6816916787625186,-0.3831778072853482,2,high volatility (stress/panic)
2025-04-14,0.7070631889132541,-0.3466352409644432,2,high volatility (stress/panic)
2025-04-15,0.6960026490230804,-0.3624018125873162,2,high volatility (stress/panic)
2025-04-16,0.6924111903257583,-0.3675752941616944,2,high volatility (stress/panic)
2025-04-17,0.6974179033687253,-0.3603704734774299,2,high volatility (stress/panic)
