"target_date","confidence_level","p_min","p_max","actual_price"
2020-03-27,0.2,1.10054542759501,1.10439741595551,1.1059
2020-03-27,0.5,1.09738329199,1.10757976292266,1.1059
2020-03-27,0.8,1.09280683993854,1.11221808096108,1.1059
2020-03-27,0.95,1.08757868567298,1.11756468050446,1.1059
2020-03-30,0.2,1.10393948709512,1.10772738268191,1.1018
2020-03-30,0.5,1.10076766654069,1.11091925739616,1.1018
2020-03-30,0.8,1.09617719744645,1.11557146192035,1.1018
2020-03-30,0.95,1.09100776932111,1.12093406793766,1.1018
2020-03-31,0.2,1.09984683003683,1.10362061404341,1.1016
2020-03-31,0.5,1.09676195831379,1.10680059743591,1.1016
2020-03-31,0.8,1.09218827686964,1.11143546988609,1.1016
2020-03-31,0.95,1.08703775326959,1.11670159298105,1.1016
2020-04-01,0.2,1.09972264720872,1.10342029430162,1.0934
2020-04-01,0.5,1.09663822103127,1.10652379587141,1.0934
2020-04-01,0.8,1.09206519965606,1.11108124627348,1.0934
2020-04-01,0.95,1.0869898794563,1.11634552443133,1.0934
2020-04-02,0.2,1.0915365243877,1.09520673633159,1.0862
2020-04-02,0.5,1.0884004193687,1.09836245299756,1.0862
2020-04-02,0.8,1.08393589316796,1.10288639945992,1.0862
2020-04-02,0.95,1.07882432296927,1.10811197801983,1.0862
2020-04-03,0.2,1.08434874793391,1.08799483503914,1.0797
2020-04-03,0.5,1.08123325710657,1.09112980883547,1.0797
2020-04-03,0.8,1.07679807723747,1.09562401909181,1.0797
2020-04-03,0.95,1.07172010680313,1.10081524984392,1.0797
2020-04-06,0.2,1.07785980964946,1.08148409305914,1.0808
2020-04-06,0.5,1.07476294957844,1.0846003196713,1.0808
2020-04-06,0.8,1.07035429232171,1.08906765455684,1.0808
2020-04-06,0.95,1.06530668851467,1.09422784185175,1.0808
2020-04-07,0.2,1.07895805432884,1.08258592077837,1.0886
2020-04-07,0.5,1.07593183640917,1.08563085429755,1.0886
2020-04-07,0.8,1.07151851745989,1.09010229846126,1.0886
2020-04-07,0.95,1.06653863627061,1.09519220307969,1.0886
2020-04-08,0.2,1.08674466832853,1.09039880170705,1.0864
2020-04-08,0.5,1.08369653982943,1.0934657817524,1.0864
2020-04-08,0.8,1.07925126769879,1.09796960130853,1.0864
2020-04-08,0.95,1.07416174227055,1.10317193163308,1.0864
2020-04-09,0.2,1.08454852810654,1.08819517573399,1.0931
2020-04-09,0.5,1.08150664365445,1.09118111912444,1.0931
2020-04-09,0.8,1.07714426396426,1.09567540358187,1.0931
2020-04-09,0.95,1.07213825915977,1.10079130751276,1.0931
2020-04-10,0.2,1.09123707477118,1.09490624391042,1.0951
2020-04-10,0.5,1.0881764038768,1.09791062841681,1.0951
2020-04-10,0.8,1.08378708259979,1.10243266960464,1.0951
2020-04-10,0.95,1.07875016144096,1.10758016958953,1.0951
2020-04-13,0.2,1.09323377693779,1.096834418722,1.0906
2020-04-13,0.5,1.09024227295933,1.09991935633154,1.0906
2020-04-13,0.8,1.08584473993011,1.10437388976627,1.0906
2020-04-13,0.95,1.08079839485189,1.10953031095424,1.0906
2020-04-14,0.2,1.08881608907536,1.09232729777333,1.0971
2020-04-14,0.5,1.08576233829652,1.09532447798888,1.0971
2020-04-14,0.8,1.08145702026805,1.09976033634422,1.0971
2020-04-14,0.95,1.07643114155175,1.10489513954166,1.0971
2020-04-15,0.2,1.09523040394945,1.09883758996451,1.0909
2020-04-15,0.5,1.09223346277948,1.10185265196791,1.0909
2020-04-15,0.8,1.08782793690699,1.10631497565093,1.0909
2020-04-15,0.95,1.08284659488838,1.11148041437598,1.0909
2020-04-16,0.2,1.08904096833378,1.09262777026453,1.084
2020-04-16,0.5,1.08606096277814,1.09562579425879,1.084
2020-04-16,0.8,1.08175443295873,1.10006290151241,1.084
