target_date,p_min,p_max,actual_price,Open,High,Low,Close,inside_range,prob_stress,close_breach_direction,low_below_pmin,high_above_pmax
2020-03-19,1.06930355633954,1.09734586002103,1.0699,1.0945,1.0947,1.0653,1.0656,True,0.996377266021182,inside,True,False
2020-03-20,1.05585772054609,1.08407057011256,1.0682,1.0655,1.083,1.0638,1.0761,True,0.996394464720467,inside,False,False
2020-03-23,1.05425270635753,1.08227357006051,1.076,1.0689,1.0827,1.0657,1.0764,True,0.992234594624523,inside,False,True
2020-03-24,1.06187773104985,1.09017663751249,1.0794,1.0763,1.0888,1.0746,1.0798,True,0.992369800128645,inside,False,False
2020-03-25,1.06530639996711,1.09354628314148,1.0835,1.0801,1.0894,1.076,1.0889,True,0.987928284833023,inside,False,False
2020-03-26,1.06942636447796,1.09769982423478,1.1025,1.0886,1.1058,1.0875,1.1048,False,0.98357827910402,upper,False,True
2020-03-27,1.08757868567298,1.11756468050446,1.1059,1.1047,1.1167,1.0955,1.1166,True,0.992628253210517,inside,False,False
2020-03-30,1.09100776932111,1.12093406793766,1.1018,1.1137,1.1137,1.101,1.1029,True,0.988191283488683,inside,False,False
2020-03-31,1.08703775326959,1.11670159298105,1.1016,1.1028,1.1042,1.0927,1.1026,True,0.983619944533329,inside,False,False
2020-04-01,1.0869898794563,1.11634552443133,1.0934,1.1026,1.1036,1.0902,1.0953,True,0.973380003402047,inside,False,False
2020-04-02,1.07882432296927,1.10811197801983,1.0862,1.0953,1.0964,1.0821,1.0846,True,0.979133848826594,inside,False,False
2020-04-03,1.07172010680313,1.10081524984392,1.0797,1.0844,1.0855,1.0773,1.0799,True,0.981034571266751,inside,False,False
2020-04-06,1.06530668851467,1.09422784185175,1.0808,1.0805,1.0835,1.0768,1.0801,True,0.981114024496014,inside,False,False
2020-04-07,1.06653863627061,1.09519220307969,1.0886,1.0799,1.0922,1.0789,1.0895,True,0.970434191593996,inside,False,False
2020-04-08,1.07416174227055,1.10317193163308,1.0864,1.0893,1.0897,1.083,1.0859,True,0.976107824626466,inside,False,False
2020-04-09,1.07213825915977,1.10079130751276,1.0931,1.0859,1.0952,1.0841,1.0925,True,0.965149613744344,inside,False,False
2020-04-10,1.07875016144096,1.10758016958953,1.0951,1.0921,1.0952,1.0918,1.0935,True,0.968177563277687,inside,False,False
2020-04-13,1.08079839485189,1.10953031095424,1.0906,1.093,1.0968,1.0892,1.0919,True,0.954089343323189,inside,False,False
2020-04-14,1.07643114155175,1.10489513954166,1.0971,1.0918,1.099,1.0915,1.0985,True,0.947067339321435,inside,False,False
2020-04-15,1.08284659488838,1.11148041437598,1.0909,1.0983,1.0987,1.0857,1.0903,True,0.951869901050418,inside,False,False
2020-04-16,1.07672713977944,1.1051991505371,1.084,1.0902,1.0907,1.0817,1.0858,True,0.954376069681833,inside,False,False
2020-04-17,1.06991664754953,1.0982088106061,1.0883,1.0859,1.0893,1.0812,1.0871,True,0.960343878573091,inside,False,False
2020-04-20,1.07423459989941,1.10248947233198,1.0874,1.0864,1.0896,1.0841,1.0864,True,0.953220939433869,inside,False,False
2020-04-21,1.07349378649704,1.10142645797413,1.0854,1.0864,1.088,1.0817,1.0855,True,0.931531756557457,inside,False,False
2020-04-22,1.07159321300364,1.09932501755912,1.0829,1.0856,1.0884,1.0803,1.0805,True,0.905957222863124,inside,False,False
2020-04-23,1.06927190368572,1.09664238900022,1.0815,1.0806,1.0846,1.0756,1.0774,True,0.876659149947596,inside,False,False
2020-04-24,1.06810944547878,1.09499924656171,1.0798,1.0772,1.0828,1.0727,1.0825,True,0.83141663034199,inside,False,False
2020-04-27,1.06657703679753,1.09312794232859,1.0829,1.082,1.086,1.081,1.0822,True,0.777023529325009,inside,False,False
2020-04-28,1.06978594551635,1.09604072493818,1.0836,1.0824,1.0888,1.0808,1.0833,True,0.732903149555162,inside,False,False
2020-04-29,1.07077123634966,1.09652355726433,1.0853,1.0832,1.0885,1.0831,1.0876,True,0.651280596572692,inside,False,False
2020-04-30,1.07274536775748,1.0979427040885,1.0934,1.0876,1.097,1.0835,1.0945,True,0.569796259672697,inside,False,False
